batch,part,archive,path,filename,extension,bytes,compressed_bytes,sha256,resource_key
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/README.md,README.md,.md,877,515,528f522684a01289e0729700b4613fc6382b2d1aa4ed7e628d5cce96dee270fb,
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/schemas/resource.schema.json,resource.schema.json,.json,1820,552,30b574984031a1520641108d57292394b65c1d50e24031ba0454636f0464bcd7,resource-schema
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/schemas/workbook.schema.json,workbook.schema.json,.json,699,232,214d0550e72a8d366478a0a8627a95c6e4083dfdbfcda31cca693bd266200a97,workbook-schema
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/schemas/diagram.schema.json,diagram.schema.json,.json,533,219,773f258ee21a1144041e66f87ea61a92bce3135aac9e3f239f7cf9238bfcd2f5,diagram-schema
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/scripts/download_official_references.py,download_official_references.py,.py,445,288,415ae8c105050c2be2ad20dbb54ea1c99d8806f3add4028a3fefa397da46dc90,download-official-references
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/templates/resource-page.html,resource-page.html,.html,491,271,e42b5060cd387183c9214bfd7fe1da8bab036fb7d51468e3e0cb62470b585687,resource-page
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/templates/pdf-spec.md,pdf-spec.md,.md,356,231,9a2e993f0d798ca0e7ab536f76514218221de6449eef34dab95568104fccebbd,pdf-spec
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/templates/workbook-spec.md,workbook-spec.md,.md,400,254,b509722d37e673502cdcf3e9754c176f84a02b8217fcd80f791caec9e00ced24,workbook-spec
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/docs/ROADMAP.md,ROADMAP.md,.md,1758,917,00c91455ba51f46bfbb4b08fe4dcebc2ca067437b4e8394f0c3c4800b554e9b4,roadmap
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/docs/CODEX_HANDOFF.md,CODEX_HANDOFF.md,.md,1130,638,8dd6a66f5003f4dde0024d7f1d9dd291079c67a274d99b0ba20f537f73c58f65,codex-handoff
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/data/resources/cia-triad.json,cia-triad.json,.json,1007,498,a38da7d0bcb7f7609ed8e240c697e7e49bdcb6350b5cf8df295e542c80b70e00,cia-triad
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/data/resources/aaa-access-review.json,aaa-access-review.json,.json,739,374,3f89ba4622ee037fa2db6643f9dbd88965e54c184d754f907e05ccd47b364191,aaa-access-review
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/data/resources/bell-lapadula.json,bell-lapadula.json,.json,775,398,3ba31ecd650a9fa22bb5508e92d75d04470086f54817bfcb957eb920b09a91ec,bell-lapadula
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/data/resources/biba-integrity.json,biba-integrity.json,.json,724,372,3c5f5a3b0cc6ba0a8165625328d1622c422b6ef0be532d1f9f33b6f1b8135574,biba-integrity
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/data/resources/defense-in-depth.json,defense-in-depth.json,.json,740,385,702c206b07fe444f7096e65c8677ac7727adaff750803c785a3e47cefc769920,defense-in-depth
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/data/resources/nist-csf-profile.json,nist-csf-profile.json,.json,724,388,7f846db3cf92dbb8a66e062f3d3b5c5e11eac15be004e8b131484e630981f779,nist-csf-profile
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/data/resources/nist-rmf-plan.json,nist-rmf-plan.json,.json,804,404,ec37a6f1ef10ec64f982d9db835230dda4e97dafa0011b9224f183a4ee8e28b0,nist-rmf-plan
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/data/resources/risk-register.json,risk-register.json,.json,746,384,02e53b2c6c0827276d56fd1dfae3304d85f054d48fc4c1f98e0092e289456b2f,risk-register
1,,joseph-technologies-cybersecurity-library-v1.zip,joseph-technologies-cybersecurity-library-v1/data/resources/incident-intake.json,incident-intake.json,.json,749,381,c84f9877b9bf5caf7a688f4683ae7b0cbd8cacd528b1baee765b4cdec3575e64,incident-intake
